DATE,GRm_3month, 
12/1/2013,3.56,
1/1/2014,3.01,
2/1/2014,3,
3/1/2014,2.7,
4/1/2014,2.18,
5/1/2014,2.84,
6/1/2014,1.98,
7/1/2014,1.93,
8/1/2014,1.61,
9/1/2014,1.78,
10/1/2014,2.73,
11/1/2014,2.38,
12/1/2014,4.77,
1/1/2015,4.73,
2/1/2015,4.73,
3/1/2015,5.17,
4/1/2015,5.28,
5/1/2015,5.31,
6/1/2015,3.53,
7/1/2015,4.215,
8/1/2015,3.119,
9/1/2015,3.26,
10/1/2015,3.23,
11/1/2015,3.52,
12/1/2015,3.35,
1/1/2016,3.43,
2/1/2016,3.17,
3/1/2016,3.68,
4/1/2016,3.33,
5/1/2016,3.21,
6/1/2016,3.35,
7/1/2016,3.53,
8/1/2016,3.36,
9/1/2016,3.46,
10/1/2016,3.14,
11/1/2016,2.22,
12/1/2016,2.43,
1/1/2017,2.36,
2/1/2017,2.39,
3/1/2017,2.39,
4/1/2017,2.45,
5/1/2017,2.41,
6/1/2017,2.3,
7/1/2017,2.16,
8/1/2017,2.1,
9/1/2017,2.14,
10/1/2017,2.05,
11/1/2017,2.05,
12/1/2017,2.05,
1/1/2018,1.39,
2/1/2018,1.29,
3/1/2018,1.2,
4/1/2018,1.05,
5/1/2018,1.02,
6/1/2018,1.04,
7/1/2018,1.14,
8/1/2018,1.22,
9/1/2018,1.27,
10/1/2018,1.392,
11/1/2018,1.42,
12/1/2018,1.37,
1/1/2019,1.51,
2/1/2019,1.4,
3/1/2019,1.43,
4/1/2019,1.53,
5/1/2019,1.7,
6/1/2019,1.52,
7/1/2019,1.43,
8/1/2019,1.59,
9/1/2019,1.3,
10/1/2019,1.62,
11/1/2019,1.33,
12/1/2019,0.82,
1/1/2020,1.42,
2/1/2020,0.83,
3/1/2020,1.04,
4/1/2020,0.765,
5/1/2020,0.546,
6/1/2020,0.406,
7/1/2020,0.166,
8/1/2020,0.155,
9/1/2020,0.046,
10/1/2020,-0.19,
11/1/2020,-0.084,
12/1/2020,-0.164,
1/1/2021,-0.109,
2/1/2021,-0.114,
3/1/2021,0.061,
4/1/2021,-0.123,
5/1/2021,-0.125,
6/1/2021,-0.206,
7/1/2021,-0.124,
8/1/2021,-0.156,
9/1/2021,-0.286,
10/1/2021,-0.156,
11/1/2021,-0.327,
12/1/2021,-0.313,
1/1/2022,-0.293,
2/1/2022,-0.271,
3/1/2022,-0.082,
4/1/2022,0.083,
5/1/2022,0.218,
6/1/2022,0.656,
7/1/2022,0.721,
8/1/2022,0.793,
9/1/2022,1.415,
10/1/2022,1.639,
11/1/2022,2.329,
12/1/2022,2.498,
1/1/2023,2.556,
2/1/2023,3.355,
3/1/2023,3.868,
4/1/2023,4.094,
5/1/2023,3.711,
6/1/2023,4.011,
7/1/2023,4.398,
8/1/2023,3.924,
9/1/2023,4.348,
10/1/2023,4.494,
11/1/2023,5.133,
12/1/2023,4.058,
1/1/2024,4.504,
2/1/2024,4.031,
3/1/2024,4.017,
4/1/2024,3.818,
