DATE,IP
12/1/2013,99.59184
1/1/2014,97.60933
2/1/2014,99.70846
3/1/2014,97.60933
4/1/2014,99.94169
5/1/2014,105.5394
6/1/2014,98.30904
7/1/2014,97.37609
8/1/2014,95.86006
9/1/2014,97.14286
10/1/2014,99.82507
11/1/2014,99.3586
12/1/2014,96.793
1/1/2015,98.19242
2/1/2015,101.5743
3/1/2015,101.5743
4/1/2015,100.758
5/1/2015,96.20992
6/1/2015,95.27697
7/1/2015,97.25948
8/1/2015,100.6414
9/1/2015,100.4082
10/1/2015,99.59184
11/1/2015,102.7405
12/1/2015,105.7726
1/1/2016,102.3907
2/1/2016,98.19242
3/1/2016,99.70846
4/1/2016,103.207
5/1/2016,101.1079
6/1/2016,102.0408
7/1/2016,102.9738
8/1/2016,103.0904
9/1/2016,101.691
10/1/2016,105.3061
11/1/2016,104.8397
12/1/2016,106.8222
1/1/2017,107.4053
2/1/2017,108.5714
3/1/2017,107.5219
4/1/2017,103.5569
5/1/2017,107.5219
6/1/2017,107.172
7/1/2017,105.4227
8/1/2017,108.8047
9/1/2017,104.2566
10/1/2017,107.2886
11/1/2017,106.3557
12/1/2017,107.9883
1/1/2018,107.8717
2/1/2018,107.7551
3/1/2018,108.4548
4/1/2018,106.9388
5/1/2018,108.9213
6/1/2018,108.8047
7/1/2018,109.0379
8/1/2018,109.1545
9/1/2018,107.9883
10/1/2018,107.6385
11/1/2018,112.3032
12/1/2018,110.3207
1/1/2019,111.4869
2/1/2019,109.7376
3/1/2019,107.5219
4/1/2019,109.9708
5/1/2019,108.5714
6/1/2019,108.4548
7/1/2019,106.3557
8/1/2019,109.0379
9/1/2019,109.621
10/1/2019,106.7055
11/1/2019,101.4577
12/1/2019,105.7726
1/1/2020,111.4869
2/1/2020,106.4723
3/1/2020,107.5219
4/1/2020,98.54227
5/1/2020,100.0583
6/1/2020,103.3236
7/1/2020,106.2391
8/1/2020,105.3061
9/1/2020,107.0554
10/1/2020,102.9738
11/1/2020,110.3207
12/1/2020,110.4373
1/1/2021,115.3353
2/1/2021,110.7872
3/1/2021,113.586
4/1/2021,120.4665
5/1/2021,113.9359
6/1/2021,112.7697
7/1/2021,115.6851
8/1/2021,116.7347
9/1/2021,119.1837
10/1/2021,120.2332
11/1/2021,120.1166
12/1/2021,120.6997
1/1/2022,114.8688
2/1/2022,117.3178
3/1/2022,123.8484
4/1/2022,115.3353
5/1/2022,118.7172
6/1/2022,123.6152
7/1/2022,124.6647
8/1/2022,123.6152
9/1/2022,118.1341
10/1/2022,116.3848
11/1/2022,119.0671
12/1/2022,119.0671
1/1/2023,116.8513
2/1/2023,123.6152
3/1/2023,124.3149
4/1/2023,120.9329
5/1/2023,121.3994
6/1/2023,119.6501
7/1/2023,122.3324
8/1/2023,123.4985
9/1/2023,120.8163
10/1/2023,128.1633
11/1/2023,122.7988
12/1/2023,123.965
1/1/2024,128.1633
2/1/2024,125.481
3/1/2024,123.8484
4/1/2024,123.8484
