DATE,PPI_gr
12/1/2013,-0.2997003
1/1/2014,-0.100200401
2/1/2014,0
3/1/2014,0
4/1/2014,0.300902708
5/1/2014,-0.1
6/1/2014,0.1001001
7/1/2014,-0.1
8/1/2014,0.2002002
9/1/2014,0.0999001
10/1/2014,0
11/1/2014,0.099800399
12/1/2014,-0.099700897
1/1/2015,-0.898203593
2/1/2015,0
3/1/2015,0.302114804
4/1/2015,0.200803213
5/1/2015,0.200400802
6/1/2015,0
7/1/2015,0
8/1/2015,0.3
9/1/2015,0.299102692
10/1/2015,-0.099403579
11/1/2015,0.099502488
12/1/2015,-0.497017893
1/1/2016,-0.1998002
2/1/2016,0
3/1/2016,-0.1001001
4/1/2016,0.100200401
5/1/2016,0.1001001
6/1/2016,0.2
7/1/2016,0.099800399
8/1/2016,0.099700897
9/1/2016,0
10/1/2016,0.099601594
11/1/2016,-0.099502488
12/1/2016,-0.398406375
1/1/2017,0.1
2/1/2017,0.0999001
3/1/2017,0.399201597
4/1/2017,-0.099403579
5/1/2017,-0.39800995
6/1/2017,0
7/1/2017,-0.0999001
8/1/2017,0.2
9/1/2017,0
10/1/2017,0
11/1/2017,-0.099800399
12/1/2017,0.1998002
1/1/2018,-0.299102692
2/1/2018,-0.4
3/1/2018,0
4/1/2018,-0.100401606
5/1/2018,-0.100502513
6/1/2018,-0.201207243
7/1/2018,0.100806452
8/1/2018,0.100704935
9/1/2018,0
10/1/2018,-0.100603622
11/1/2018,0
12/1/2018,0
1/1/2019,-0.302114804
2/1/2019,0
3/1/2019,-0.101010101
4/1/2019,0.101112235
5/1/2019,-0.101010101
6/1/2019,0.101112235
7/1/2019,0.101010101
8/1/2019,0.100908174
9/1/2019,0.100806452
10/1/2019,-0.100704935
11/1/2019,0.100806452
12/1/2019,0.302114804
1/1/2020,-0.301204819
2/1/2020,0
3/1/2020,-0.100704935
4/1/2020,0.201612903
5/1/2020,0
6/1/2020,-0.100603622
7/1/2020,0
8/1/2020,0
9/1/2020,0
10/1/2020,0.100704935
11/1/2020,0
12/1/2020,0.301810865
1/1/2021,-0.200601805
2/1/2021,0
3/1/2021,0
4/1/2021,0.603015075
5/1/2021,0
6/1/2021,-0.0999001
7/1/2021,-0.1
8/1/2021,0.2002002
9/1/2021,0.2997003
10/1/2021,0.199203187
11/1/2021,0.099403579
12/1/2021,0.297914598
1/1/2022,0
2/1/2022,0.198019802
3/1/2022,1.185770751
4/1/2022,1.171875
5/1/2022,0.386100386
6/1/2022,0.288461538
7/1/2022,0.287631831
8/1/2022,0.478011472
9/1/2022,0.951474786
10/1/2022,1.50801131
11/1/2022,0.742804085
12/1/2022,0.276497696
